Scientific name	English name	Polish name
Alauda arvensis	Eurasian Skylark	Skowronek zwyczajny
Anas platyrhynchos	Mallard	Krzyżowka
Apus apus	Common Swift	Jerzyk
Ardea cinerea	Grey Heron	Czapla siwa
Ciconia ciconia	White Stork	Bocian biały
Circus aeruginosus	Western Marsh Harrier	Błotniak stawowy
Columba livia	Rock Dove	Gołąb skalny
Columba palumbus	Common Wood Pigeon	Grzywacz
Corvus cornix	Hooded Crow	Wrona siwa
Cyanistes caeruleus	Eurasian Blue Tit	Sikora modra
Dendrocopos major	Great Spotted Woodpecker	Dzięcioł duży
Emberiza citrinella	Yellowhammer	Trznadel zwyczajny
Fringilla coelebs	Common Chaffinch	Zięba
Garrulus glandarius	Eurasian Jay	Sójka
Grus grus	Common Crane	Żuraw
Motacilla alba	White Wagtail	Pliszka siwa
Parus major	Great Tit	Sikora bogatka
Passer montanus	Eurasian Tree Sparrow	Mazurek
Phoenicurus ochruros	Black Redstart	Kopciuszek
Phoenicurus phoenicurus	Common Redstart	Pokrzewka
Pica pica	Eurasian Magpie	Sroka
Turdus merula	Eurasian Blackbird	Kos
Vanellus vanellus	Northern Lapwing	Czajka zwyczajna

